month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
12/2012,484813.023,900336.731,921412.48,104.7,100.5,97.2,93.8,100.8,99.9,99.4,100,100,100.1,100.1,100,99.9,100,504186.487,234101.852,270084.635,4376.097,128282.477,325657.87,524519.257,337591.7,17066.5,310975.9,2136.8,13.4,4111.69,3666.4,17112,-7052,547,-507
01/2013,476832.989,895716.818,913439.383,100.8,99.7,97.3,95.6,101.3,100.4,96.5,100.3,98.5,100.1,100.1,100.2,99.9,100.2,510201.681,239180.747,271020.934,4554.293,127343.072,327268.839,525071.506,333453.7,17106.6,307082.3,2295.7,14.2,3680.3,3340.1,14059,-5256,42,-11841
02/2013,484458.658,904415.031,920261.092,99.6,100.8,97.5,101.1,99.8,101.3,97.8,100,97,100,99.9,100.1,99.9,100.1,516750.758,245021.133,271729.625,4633.272,126610.322,328427.355,526004.666,339253.8,16677.4,313228.7,2336.7,14.4,3709.99,3345,10940,-4185,3340,-1335
03/2013,487392.128,915839.384,932005.534,95.9,96.3,99.1,103.3,100.1,100.8,100.4,100.1,97.1,100.2,100.3,100.2,100.3,100.1,520562.053,251878.164,268683.889,4566.195,126645.611,330484.532,528570.351,354805.8,17235.1,328157.2,2314.5,14.3,3832.81,4036,12156,-1114,-23,466
04/2013,493721.31,914731.599,935231.265,99.3,100.1,105.8,98.9,100.4,100.1,103.3,100,100,100.4,100.4,100.5,100.6,100.1,519171.947,257147.684,262024.263,4329.379,126850.183,329165.397,528104.252,346057.5,15458.3,321403.7,2255.7,14,3830.89,3994.8,10616,1422,77,-4507
05/2013,508299.421,920112.136,941791.066,98.2,97,107.9,97.4,100.7,100.2,100.1,100,97.4,99.9,99.8,99.9,99.9,100,517284.766,260388.335,256896.431,4224.456,127845.536,334437.35,534893.932,363230.6,15377.2,338500.6,2176.3,13.6,3699.67,4284.8,9709,2620,11062,9860
06/2013,523782.803,927344.506,946586.353,93.9,99.9,111.9,107.6,99.7,100.2,99.2,99.8,100,100,100,100,100,100,521418.328,267250.642,254167.686,4014.656,127129.772,338127.197,538587.904,354690.4,13208.5,331954.1,2109.1,13.2,3808.63,4370.1,10482,-5238,2567,-387
07/2013,530665.673,921661.484,945076.796,89.9,97.8,114.8,104.4,99.7,100.1,97.3,100.1,100,100.3,100,100.4,100.6,100.1,520917.348,270113.014,250804.334,3810.864,127721.874,336519.522,537964.568,351632.7,14067.3,328299.2,2093.1,13.1,3830.07,4617.8,12956,-7043,8371,-3062
08/2013,531124.101,928358.847,949987.643,80.5,99.6,117.8,103,98.8,100.2,97.3,100.1,100,99.7,99.6,99.9,99.9,100.1,523485.159,272347.935,251137.224,3713.553,128411.065,338736.67,541342.596,352337.5,14843.5,328385.3,2083.2,13,3760.45,4575.8,10462,1505,737,-353
09/2013,540873.279,931041.815,947227.581,108.6,101.5,120.1,99.8,100,100.2,100.7,93.1,100,100.1,100.1,100.1,99.9,100.2,522749.339,272258.26,250491.079,3560.172,130989.96,339698.648,545749.026,333699.6,13802,310828,2083.1,13,3770.91,4684.9,10722,-719,575,471
10/2013,536236.496,935095.233,955418.698,104.2,99.9,121.4,96.2,99.9,100.1,103.5,100.4,102.8,100.2,100.2,100.3,100.4,100.1,524031.14,271320.549,252710.591,3232.451,131198.127,338462.222,544961.335,321983.2,13463.5,299608,2075.2,13,3834.17,4957.1,14438,-2919,7932,2145
11/2013,538836.808,934713.236,953446.267,101.1,98.9,123.3,95.5,100.2,100.1,99.8,100.1,95.1,99.8,99.8,100,99.8,100,526245.17,271240.457,255004.713,3133.496,131320.667,340660.421,547982.567,330200.3,12709.9,308473.4,2116,13.2,3897.88,4508.6,12588,-4275,901,-3285
12/2013,555835.31,960344.913,978908.218,102.5,101,122.4,96.5,100.7,100,99.4,100,100,100.1,100.1,99.9,99.9,100,536465.383,276522.411,259942.972,3088.601,131439.892,340543.359,547093.824,319933,11974.7,299235.5,2157.9,13.4,4221.5,4165.8,16008,-4449,2274,-7212
01/2014,546487.343,947443.323,962415.645,99.6,101.3,124.4,95.8,101.5,100.8,96.3,100,99.7,100.1,100.1,99.8,99.6,100.1,542664.773,277689.393,264975.38,3039.785,131478.138,345521.883,552652.436,332661.7,12904.9,311154.5,2260.7,13.9,3805.28,3697.6,12511,-7048,-90,-8305
02/2014,548032.839,954284.053,968442.267,97.9,99.1,122.6,91,99.8,101.4,98.3,100,100.3,100.1,100.1,100,100.2,100.1,548332.323,279854.048,268478.275,3015.457,131162.312,344019.294,551758.216,315873.3,13291.8,294236.8,2255.9,13.9,3856.56,3522.2,12462,-4586,4761,-1552
03/2014,558953.88,964623.741,980377.256,101.8,98,119.9,102.8,99.7,100.7,100.8,100,100.6,100.1,100.1,100.1,100.3,100.1,551193.805,280400.947,270792.858,3019.141,131450.856,344765.42,553655.988,312077.1,12992.5,290762.5,2182.2,13.5,4017.75,4200.3,10589,-1112,1512,-1317
04/2014,548393.693,969753.516,986142.157,103.2,101.9,115.1,106.1,99.5,100.3,102.8,100,98.5,100,100,100.1,100.3,100,553600.555,281526.392,272074.163,3025.612,132187.409,347251.993,557450.918,311905.5,13013.5,290436.7,2079,13,3976.8,4174.6,11646,-867,1135,-1673
05/2014,557651.192,975000.902,991119.993,100,98.9,111.3,100,99.6,100.2,99.9,100,99.9,99.9,99.8,100,100,100.1,553588.529,280844.547,272743.982,3081.745,133183.159,346469.128,558793.239,312662.5,12628.7,291620.5,1986.7,12.5,3878.31,4283.5,8893,-1405,12375,9433
06/2014,572375.807,980089.488,996171.156,96.4,99.1,106.5,105.9,99.7,100.1,99.2,100.1,102.4,100,100,99.9,100.2,100,556538.346,283245.64,273292.706,3131.205,133844.167,349192.808,562486.753,310676.2,13239.4,289013.8,1912.5,12,3943.01,3997.2,10317,-10624,1701,-9088
07/2014,570506.614,985769.156,1002137.279,88.1,98.3,103.2,100.3,98.9,100,97.2,100.2,101.2,99.8,99.8,99.9,100,100.1,559814.71,283927.703,275887.007,3197.607,134870.364,350539.317,565103.626,321761.8,13324,300000.6,1878.5,11.8,3964.91,4370.9,13259,-5651,5962,-1507
08/2014,574529.433,1003128.364,1020561.111,96.6,101.7,96.4,97.4,98.4,100,97.3,100.1,101.3,99.6,99.5,99.8,100,100,563291.546,284734.659,278556.887,3318.064,135954.455,354801.71,570637.302,325952.2,13599.4,303757.1,1853.2,11.7,3893.23,4323.2,9144,-4843,162,-4658
09/2014,578485.426,1003354.341,1021824.195,99.8,97.7,97.3,95.2,100.1,100,101.1,100.2,100,100,100,100.1,100,100,564629.367,282478.827,282150.54,3409.409,136875.465,354623.051,571828.87,335408.9,13201.4,313640.5,1821.9,11.5,3900.49,4555.8,11321,-1156,1961,-1962
10/2014,574605.84,1011930.555,1028665.265,97.8,96,87,93.2,99.8,100,103.4,100.6,99.7,100,100,100.1,100.2,100,569323.177,282869.742,286453.435,3488.505,136470.776,357176.223,573527.386,335000.4,12990.5,313372.1,1784.8,11.3,3980.92,4657.6,14724,-1763,3180,843
11/2014,583681.712,1017658.848,1033417.841,103.6,100.6,83,95.7,99.9,100.1,99.8,100,99.3,99.8,99.7,99.9,99.9,99.9,574208.876,286934.007,287274.869,3614.632,136743.307,357445.742,574812.275,337373.6,13172.3,315622.7,1799.8,11.4,4004.8,4385.4,13005,-127,1020,-1374
12/2014,606282.659,1044552.907,1059015.26,104.2,101.7,80.2,94.2,100,99.9,98.9,100,100,99.7,99.7,99.8,100,99.9,592446.191,298282.411,294163.78,3686.698,137394.841,361125.66,578092.648,352256.9,13918.5,329937.8,1825.2,11.4,4379.26,3904.7,15295,-5169,8310,1087
01/2015,596572.78,1032424.444,1044747.366,105.6,104.2,79.5,97.4,100.8,100.1,96.4,100.1,100,99.8,99.6,100,99.8,100.1,597970.734,301758.913,296211.821,3603.323,138265.141,379039.719,597195.339,370037.9,15555.7,346024.2,1918.6,11.9,3942.78,3455.9,11748,-2550,1195,-3114
02/2015,603439.877,1038760.559,1052746.148,99.6,102.2,79.6,109.8,100,100.6,98.1,100,100,99.9,99.8,99.9,100,100,604848.018,307336.718,297511.3,3567.992,137879.507,374419.065,592613.239,360588.8,14745.5,337859.4,1918.7,11.9,3981.75,3606.8,9493,-1151,8904,4805
